year_month,actual_pA,month,year
200106,0.187,06,2001
200107,0.178,07,2001
200108,0.194,08,2001
200109,0.202,09,2001
200110,0.19,10,2001
200111,0.184,11,2001
200112,0.182,12,2001
200201,0.214,01,2002
200202,0.206,02,2002
200203,0.23,03,2002
200204,0.215,04,2002
200205,0.205,05,2002
200206,0.215,06,2002
200207,0.222,07,2002
200208,0.252,08,2002
200209,0.235,09,2002
200210,0.23,10,2002
200211,0.252,11,2002
200212,0.236,12,2002
200301,0.236,01,2003
200302,0.242,02,2003
200303,0.276,03,2003
200304,0.259,04,2003
200305,0.244,05,2003
200306,0.253,06,2003
200307,0.242,07,2003
200308,0.257,08,2003
200309,0.206,09,2003
200310,0.239,10,2003
200311,0.249,11,2003
200312,0.264,12,2003
200401,0.268,01,2004
200402,0.27,02,2004
200403,0.259,03,2004
200404,0.261,04,2004
200405,0.238,05,2004
200406,0.244,06,2004
200407,0.235,07,2004
200408,0.238,08,2004
200409,0.217,09,2004
200410,0.218,10,2004
200411,0.194,11,2004
200412,0.188,12,2004
200501,0.203,01,2005
200502,0.219,02,2005
200503,0.217,03,2005
200504,0.237,04,2005
200505,0.235,05,2005
200506,0.234,06,2005
200507,0.229,07,2005
200508,0.215,08,2005
200509,0.228,09,2005
200510,0.228,10,2005
200511,0.214,11,2005
200512,0.219,12,2005
200601,0.227,01,2006
200602,0.228,02,2006
200603,0.228,03,2006
200604,0.234,04,2006
200605,0.249,05,2006
200606,0.225,06,2006
200607,0.244,07,2006
200608,0.242,08,2006
200609,0.259,09,2006
200610,0.235,10,2006
200611,0.22,11,2006
200612,0.217,12,2006
200701,0.217,01,2007
200702,0.216,02,2007
200703,0.215,03,2007
200704,0.233,04,2007
200705,0.217,05,2007
200706,0.217,06,2007
200707,0.233,07,2007
200708,0.258,08,2007
200709,0.245,09,2007
200710,0.238,10,2007
200711,0.225,11,2007
200712,0.239,12,2007
200801,0.222,01,2008
200802,0.216,02,2008
200803,0.214,03,2008
200804,0.224,04,2008
200805,0.22,05,2008
200806,0.236,06,2008
200807,0.253,07,2008
200808,0.253,08,2008
200809,0.246,09,2008
200810,0.239,10,2008
200812,0.242,12,2008
200901,0.248,01,2009
200902,0.246,02,2009
200903,0.241,03,2009
200904,0.275,04,2009
200905,0.257,05,2009
200906,0.258,06,2009
200907,0.25,07,2009
200908,0.258,08,2009
200909,0.266,09,2009
200910,0.25,10,2009
200911,0.23,11,2009
200912,0.223,12,2009
201001,0.229,01,2010
201002,0.227,02,2010
201003,0.234,03,2010
201004,0.259,04,2010
201005,0.253,05,2010
201006,0.245,06,2010
201007,0.26,07,2010
201008,0.254,08,2010
201009,0.248,09,2010
201010,0.237,10,2010
201011,0.25,11,2010
201012,0.246,12,2010
201101,0.245,01,2011
201102,0.244,02,2011
201103,0.24,03,2011
201104,0.249,04,2011
201105,0.237,05,2011
201106,0.242,06,2011
201107,0.242,07,2011
201108,0.239,08,2011
201109,0.239,09,2011
201110,0.229,10,2011
201111,0.26,11,2011
201112,0.234,12,2011
201201,0.278,01,2012
201202,0.231,02,2012
201203,0.242,03,2012
201204,0.219,04,2012
201205,0.217,05,2012
201206,0.23,06,2012
201207,0.222,07,2012
201208,0.246,08,2012
201209,0.215,09,2012
201210,0.212,10,2012
201211,0.222,11,2012
201212,0.217,12,2012
201301,0.213,01,2013
201302,0.205,02,2013
201303,0.202,03,2013
201304,0.199,04,2013
201305,0.21,05,2013
201306,0.216,06,2013
201307,0.214,07,2013
201308,0.223,08,2013
201309,0.211,09,2013
201310,0.212,10,2013
201311,0.21,11,2013
201312,0.195,12,2013
201401,0.196,01,2014
201402,0.191,02,2014
201403,0.189,03,2014
201404,0.197,04,2014
201405,0.184,05,2014
201406,0.196,06,2014
201407,0.178,07,2014
201408,0.183,08,2014
201409,0.179,09,2014
201410,0.176,10,2014
201411,0.183,11,2014
201412,0.177,12,2014
201501,0.18,01,2015
201502,0.178,02,2015
201503,0.175,03,2015
201504,0.178,04,2015
201505,0.174,05,2015
201506,0.185,06,2015
201507,0.185,07,2015
201508,0.178,08,2015
201509,0.176,09,2015
201510,0.183,10,2015
201511,0.178,11,2015
201512,0.174,12,2015
201601,0.152,01,2016
201602,0.171,02,2016
201603,0.182,03,2016
201604,0.148,04,2016
201605,0.152,05,2016
201606,0.169,06,2016
201607,0.186,07,2016
201608,0.186,08,2016
201609,0.147,09,2016
201610,0.16,10,2016
201611,0.188,11,2016
201612,0.197,12,2016
201701,0.192,01,2017
201702,0.19,02,2017
201703,0.207,03,2017
201704,0.192,04,2017
201705,0.205,05,2017
201706,0.205,06,2017
201707,0.2,07,2017
201708,0.224,08,2017
201709,0.225,09,2017
201710,0.23,10,2017
201711,0.227,11,2017
201712,0.226,12,2017
201801,0.206,01,2018
201802,0.223,02,2018
201803,0.2,03,2018
201804,0.224,04,2018
201805,0.226,05,2018
201806,0.214,06,2018
201807,0.195,07,2018
201808,0.196,08,2018
201809,0.199,09,2018
201810,0.187,10,2018
201811,0.184,11,2018
201812,0.211,12,2018
201901,0.192,01,2019
201902,0.173,02,2019
201903,0.162,03,2019
201904,0.159,04,2019
201905,0.161,05,2019
201906,0.156,06,2019
201907,0.142,07,2019
201908,0.154,08,2019
201909,0.143,09,2019
201910,0.123,10,2019
201911,0.128,11,2019
201912,0.137,12,2019
202001,0.141,01,2020
202002,0.15,02,2020
202003,0.129,03,2020
