year_month,run_days
200106,17
200107,16
200108,16
200109,19
200110,23
200111,19
200112,18
200201,22
200202,21
200203,20
200204,19
200205,21
200206,22
200207,22
200208,21
200209,20
200210,23
200211,21
200212,20
200301,19
200302,20
200303,18
200304,21
200305,24
200306,22
200307,24
200308,24
200309,23
200310,25
200311,25
200312,25
200401,21
200402,21
200403,25
200404,24
200405,25
200406,25
200407,24
200408,27
200409,26
200410,25
200411,29
200412,29
200501,28
200502,25
200503,26
200504,27
200505,26
200506,28
200507,23
200508,28
200509,25
200510,27
200511,21
200512,23
200601,28
200602,26
200603,28
200604,28
200605,28
200606,27
200607,25
200608,28
200609,20
200610,30
200611,27
200612,26
200701,27
200702,26
200703,29
200704,28
200705,29
200706,25
200707,26
200708,28
200709,27
200710,28
200711,27
200712,26
200801,29
200802,24
200803,29
200804,30
200805,30
200806,26
200807,31
200808,30
200809,30
200810,29
200812,21
200901,21
200902,16
200903,22
200904,22
200905,14
200906,18
200907,19
200908,23
200909,22
200910,21
200911,19
200912,22
201001,24
201002,22
201003,26
201004,24
201005,25
201006,25
201007,23
201008,25
201009,24
201010,23
201011,22
201012,23
201101,24
201102,18
201103,27
201104,19
201105,27
201106,26
201107,27
201108,24
201109,23
201110,21
201111,21
201112,23
201201,23
201202,21
201203,20
201204,21
201205,23
201206,22
201207,23
201208,22
201209,21
201210,22
201211,21
201212,20
201301,23
201302,20
201303,19
201304,21
201305,22
201306,22
201307,22
201308,19
201309,19
201310,23
201311,21
201312,22
201401,21
201402,21
201403,21
201404,24
201405,24
201406,22
201407,23
201408,21
201409,23
201410,23
201411,21
201412,23
201501,22
201502,21
201503,21
201504,23
201505,24
201506,22
201507,22
201508,22
201509,23
201510,14
201511,14
201512,18
201601,13
201602,14
201603,15
201604,15
201605,15
201606,15
201607,14
201608,16
201609,14
201610,14
201611,16
201612,15
201701,15
201702,14
201703,15
201704,14
201705,15
201706,16
201707,15
201708,17
201709,14
201710,15
201711,16
201712,14
201801,17
201802,14
201803,16
201804,16
201805,17
201806,17
201807,15
201808,16
201809,12
201810,16
201811,17
201812,14
201901,19
201902,16
201903,17
201904,17
201905,22
201906,20
201907,22
201908,18
201909,17
201910,19
201911,16
201912,14
202001,15
202002,14
202003,16
