year_month,fcst_sA
200106,0
200107,0
200108,0
200109,0
200110,0
200111,0
200112,0
200201,0.204
200202,0.204
200203,0.204
200204,0.212
200205,0.212
200206,0.212
200207,0.218
200208,0.218
200209,0.218
200210,0.224
200211,0.239
200212,0.239
200301,0.236
200302,0.236
200303,0.236
200304,0.249
200305,0.249
200306,0.242
200307,0.242
200308,0.24
200309,0.24
200310,0.257
200311,0.257
200312,0.257
200401,0.267
200402,0.267
200403,0.267
200404,0.274
200405,0.248
200406,0.233
200407,0.227
200408,0.234
200409,0.224
200410,0.214
200411,0.212
200412,0.2
200501,0.2
200502,0.202
200503,0.204
200504,0.207
200505,0.215
200506,0.227
200507,0.229
200508,0.233
200509,0.221
200510,0.221
200511,0.215
200512,0.209
200601,0.216
200602,0.213
200603,0.207
200604,0.225
200605,0.22
200606,0.22
200607,0.225
200608,0.218
200609,0.245
200610,0.242
200611,0.23
200612,0.21
200701,0.239
200702,0.22
200703,0.224
200704,0.227
200705,0.215
200706,0.211
200707,0.217
200708,0.213
200709,0.213
200710,0.216
200711,0.218
200712,0.218
200801,0.213
200802,0.219
200803,0.219
200804,0.223
200805,0.232
200806,0.234
200807,0.24
200808,0.243
200809,0.244
200810,0.241
200812,0.243
200901,0.241
200902,0.237
200903,0.242
200904,0.24
200905,0.232
200906,0.234
200907,0.24
200908,0.243
200909,0.244
200910,0.241
200911,0.242
200912,0.243
201001,0.238
201002,0.238
201003,0.24
201004,0.234
201005,0.237
201006,0.239
201007,0.239
201008,0.239
201009,0.236
201010,0.233
201011,0.232
201012,0.231
201101,0.239
201102,0.238
201103,0.236
201104,0.233
201105,0.233
201106,0.233
201107,0.231
201108,0.23
201109,0.229
201110,0.228
201111,0.228
201112,0.227
201201,0.223
201202,0.222
201203,0.219
201204,0.221
201205,0.22
201206,0.218
201207,0.215
201208,0.213
201209,0.212
201210,0.212
201211,0.209
201212,0.208
201301,0.222
201302,0.221
201303,0.216
201304,0.211
201305,0.209
201306,0.207
201307,0.205
201308,0.204
201309,0.2
201310,0.203
201311,0.201
201312,0.199
201401,0.202
201402,0.198
201403,0.195
201404,0.191
201405,0.191
201406,0.187
201407,0.185
201408,0.181
201409,0.179
201410,0.177
201411,0.174
201412,0.172
201501,0.177
201502,0.174
201503,0.173
201504,0.171
201505,0.17
201506,0.168
201507,0.168
201508,0.169
201509,0.167
201510,0.17
201511,0.17
201512,0.171
201601,0.159
201602,0.161
201603,0.16
201604,0.16
201605,0.161
201606,0.161
201607,0.161
201608,0.162
201609,0.163
201610,0.163
201611,0.163
201612,0.171
201701,0.199
201702,0.199
201703,0.2
201704,0.201
201705,0.202
201706,0.203
201707,0.204
201708,0.203
201709,0.204
201710,0.204
201711,0.205
201712,0.205
201801,0.198
201802,0.198
201803,0.198
201804,0.201
201805,0.199
201806,0.199
201807,0.198
201808,0.196
201809,0.194
201810,0.192
201811,0.194
201812,0.187
201901,0.19
201902,0.17765
201903,0.1805
201904,0.17195
201905,0.1672
201906,0.16625
201907,0.156
201908,0.152
201909,0.15
201910,0.149
201911,0.156
201912,0.138
202001,0.14
202002,0.147
202003,0.148
